municipio_distrito;fecha_informe;casos_confirmados_ultimos_14dias;tasa_incidencia_acumulada_ultimos_14dias;casos_confirmados_totales;tasa_incidencia_acumulada_total;codigo_geometria,,
Madrid-Carabanchel;13/03/2020 07:00;79;31,21;79;31,21;79611
Madrid-Usera;13/03/2020 07:00;27;19,32;27;19,32;79612
Madrid-Puente de Vallecas;13/03/2020 07:00;132;56,2;132;56,2;79613
Madrid-San Blas - Canillejas;13/03/2020 07:00;47;29,72;47;29,72;79620
Madrid-Barajas;13/03/2020 07:00;23;46,99;23;46,99;79621
Madrid-Moratalaz;13/03/2020 07:00;52;54,99;52;54,99;79614
Madrid-Ciudad Lineal;13/03/2020 07:00;63;29,13;63;29,13;79615
Madrid-Hortaleza;13/03/2020 07:00;40;21,26;40;21,26;79616
Madrid-Villaverde;13/03/2020 07:00;64;42,97;64;42,97;79617
Madrid-Villa de Vallecas;13/03/2020 07:00;65;58,9;65;58,9;79618
Madrid-Vicalvaro;13/03/2020 07:00;27;37,45;27;37,45;79619
Pozuelo de Alarcón;13/03/2020 07:00;40;46,28;41;47,44;1150
Alcorcón;13/03/2020 07:00;61;35,77;61;35,77;72
Navalcarnero;13/03/2020 07:00;17;58,02;17;58,02;967
San Agustín del Guadalix;13/03/2020 07:00;;22,42;;22,42;1296
Moralzarzal;01/03/2020 07:00;;0;;0;0908,,
Canencia;01/03/2020 07:00;;0;;0;0344,,
Villarejo de Salvanés;01/03/2020 07:00;;0;;0;1809,,
